City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
nan,Big Pharmaceuticals,BMS,Public,5000+,Sr. Specialist QA,Masters or Equivalent,4,99000,,8%,,,,N/A (no overtime/salaried),2024,$67.00 ,"6% match, annual 3% bonus into 401k ",,3%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Public,Jan-50,Junior bioinformatician,"Bachelors or Equivalent, Masters or Equivalent",1,960000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,i don't know...,,Have not been long enough to have an annual yearly raise,,russia,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Pfizer ,Public,1000-5000,Scientist (R3),Masters or Equivalent,3,103000,,5%,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"4.5% - first 3% match, match 50% of next 3% so if you do 6% you get 4.5% match ",,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Eli Lilly,Public,5000+,Principal Engineer,"Bachelors or Equivalent, Masters or Equivalent",6,120000,,16000,15000,,,N/A (no overtime/salaried),2024,5000,"401K match 6%, pension",,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Pfizer ,Public,1000-5000,Scientist (R3),Masters or Equivalent,3,103000,,5%,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"4.5% - first 3% match, match 50% of next 3% so if you do 6% you get 4.5% match ",,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Senior Scientist,PhD or Equivalent,0,150000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401k available, no match",,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Agriculture,Prefer not to say,Private,5000+,Principal Scientist II,PhD or Equivalent,15,135000,,15%,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% 401k,Employee + Kids @ $325/Month. Really solid benefits,5%,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Precigen,Public,50-200,Manufacturing Associate I,High School or Equivalent,3,70000.4,,7000,0,,,N/A (no overtime/salaried),2024,950,"401K match, 5%","Plenty of options, FSA, HSA, etc.",Have not been long enough to have an annual yearly raise,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Roche,Private,5000+,Computational biologist (contract),PhD or Equivalent,2,110000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,None ,None ,Have not been long enough to have an annual yearly raise,,Canada,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Takeda,Public,5000+,Associate Director,Bachelors or Equivalent,16,195000,,40000,20000,,,N/A (no overtime/salaried),2024,15000,4$ match guaranteed. Additional based on years and performance. ,,3.25%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,50-200,"Associate Director, CMC",PhD or Equivalent,9,198000,,40000,0,,,N/A (no overtime/salaried),2024,100000,401k match 6%,,3,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,50-200,"Manager, R&D",PhD or Equivalent,8,125000,,20000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K 3% match,,3,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,50-200,Senior Manager,Bachelors or Equivalent,13,162750,,24412,,,,N/A (no overtime/salaried),2024,24412,4.5% total match with 6% employee contribution,"Very positive. Company values employees highly with very generous benefits package, hybrid WFH policy, transparency from leadership, collaborative work environment.",5%,,"Midwest (From OH to KS, North to ND)",,,,,,,,100000,,,Nan,
nan,Big Pharmaceuticals,Merck,Private,5000+,Senior Specialist,Masters or Equivalent,4,125000,,125000,7000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match upto 6%,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,50-200,Associate Scientist II,"Bachelors or Equivalent, Masters or Equivalent",1,79000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Kenvue (formerly J&J),Public,5000+,Scientist II,Masters or Equivalent,3,97100,,"4,000",,,,N/A (no overtime/salaried),2024,Not Applicable/None,Up to 9% match,"high deductible of $1,800 single/3,600 family",4%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Start-up,Jan-50,Lab Manager,Bachelors or Equivalent,2,50000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,none,,Company/Institution does not have annual yearly raise,,Germany,,,,,,,,,,,Nan,
nan,Early stage Biotech,Prefer not to say,Public,Jan-50,Director,"High School or Equivalent, Masters or Equivalent",7,200000,,"$40,000 ",0,,,N/A (no overtime/salaried),2024,"$25,000 ",401k match up to 4%,"Offered, but I don’t use ",3%,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,"10,000 option shares",,,Nan,
nan,Medical/Health Devices,Prefer not to say,Private,200-1000,Scientist II,PhD or Equivalent,6,110000,,Not Applicable/None,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,5%,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,SK pharmteco,Private,200-1000,QC Chemist I,Bachelors or Equivalent,3,65000,,"4,000",,,,N/A (no overtime/salaried),2024,"Get shares, don’t know how much",4% match 2.5% stock? Idk lol,Meritain Health PPO -$70 per paycheck,"5% in 2022, none since",,Central VA,,,,,,,,,,,Nan,
nan,Engineering/Design,Prefer not to say,Private,1000-5000,Sr. Process Engineer,"Associate’s Degree or Equivalent, Bachelors or Equivalent",15,175000,,"$8,000 ",,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k - 4% match,"Healthcare, Dental, life insurance, HSA",6%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,50-200,Scientist II,Masters or Equivalent,14,135000,,16500,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match of 4%,,4000,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Moderna,Public,5000+,Scientist,PhD or Equivalent,1,134000,,20000,3000,,,N/A (no overtime/salaried),2024,45000,4.5,$250 deductible blue cross blue shield,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Sanofi,Public,5000+,Quality Control Manager,Bachelors or Equivalent,2,133000,,26600,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,150% 401k match up to 6%,,Company/Institution does not have annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Agriculture,Prefer not to say,Start-up,Jan-50,Research Assistant,Masters or Equivalent,1,70000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match: 50%,BCBS Massachusetts,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Sr. Scientist ,PhD or Equivalent,7,183500,,20000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,4%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,50-200,Sr Scientist,PhD or Equivalent,3,148000,,17.50%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match,,3%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Associate Director ,"High School or Equivalent, PhD or Equivalent",9,200000,,30000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K 4% match by employer ,,10%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Amgen,Public,5000+,Sr Marketing Manager,Bachelors or Equivalent,14,180000,,$25000-35000,0,,,N/A (no overtime/salaried),2024,"$15,000 ",10% of cash compensation match,Standard,2-3%,,West Coast (California & Pacific Northwest),,,,,,,,"$25,000 ",,,Nan,
nan,Medical/Health Devices,JnJ Vision Jax,Public,1000-5000,Project Manager ,Bachelors or Equivalent,10,150000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% match,,5%,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Vertex,Public,5000+,"Associate Director, Market Access","High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",15,185000,,15%,0,,,N/A (no overtime/salaried),2024,25000,401k match 4.5%,HSA contribution,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,50-200,Senior Scientist,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",10,161000,,10%,,,,N/A (no overtime/salaried),2024," RSU, Options ~25k",30% 401k match,"covered 90% insurance for employee and 80% for dependents, very low deductible and copay. FSA/HSA available, free dental and vision",4%,,West Coast (California & Pacific Northwest),,,,,,,,"RSU, Options and ESPP",,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,Jan-50,Marketing Specialist,Masters or Equivalent,2,73500,,5000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match,,Company/Institution does not have annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Public,1000-5000,Associate Director,PhD or Equivalent,10,80000,,9500,,,,N/A (no overtime/salaried),2024,6000,8%,Private healthcare,4,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Gilead,Public,5000+,Business Analyst (Jr),"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",2,102000,,7500,,,,N/A (no overtime/salaried),2024,9000,100%,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,RSU,,,Nan,
nan,Academia/Research/Institution,MGB,Government,5000+,Bioinformatics Engineer,Masters or Equivalent,3,92000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Nothing as I’m a contractor,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Public,1000-5000,Data Scientist,PhD or Equivalent,2,127000,,10%,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,7%,HSA,4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Private,200-1000,Computational Biologist II,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",3,165000,,16500,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,4%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Director,PharmD or Equivalent,24,220000,,44000,,,,N/A (no overtime/salaried),2024,44000,Match pension contributions c. 1:1.3,Discounted fees,3%,,Switzerland ,,,,,,,,,,,Nan,
nan,Biotech Equipment,Prefer not to say,Public,5000+,Senior Product Manager ,Bachelors or Equivalent,14,160000,,27500,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 4%,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Scientist II,PhD or Equivalent,2,155000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401k, no match",,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,AstraZeneca,Public,5000+,Manager of reporting,Masters or Equivalent,3,126000,,18900,9000,,,N/A (no overtime/salaried),2024,Not Applicable/None,RRSP match 3%,,Have not been long enough to have an annual yearly raise,,Canada,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Amgen,Public,5000+,Manager,PhD or Equivalent,6,77500,,11000,5000,,,5500,2024,10000,9%,Health insurance ,4.1,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Manager,PhD or Equivalent,4,170000,,32000,0,,,N/A (no overtime/salaried),2024,30000,Upto 4% match,,3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Mid size  biotech ,Prefer not to say,Public,1000-5000,"Senior manager, global procurement ","Bachelors or Equivalent, Masters or Equivalent",14,175000,,35000,10000,,,N/A (no overtime/salaried),2024,30000,I don’t know ,,4,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,30000,,,Nan,
nan,Industrial Biotech,Korro,Public,50-200,Scientist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",0,130000,,15000,5000,,,N/A (no overtime/salaried),2024,5000,401k match up to 3%,Good healthcare. $80 biweekly cost. $3000 deductible but $3000 paid to HSA every year by employer,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Merck,Public,5000+,Sr Scientist,PhD or Equivalent,3,162000,,24300,25000,,,N/A (no overtime/salaried),2024,12000,Pension 3% + 0.75% 401k match on 6%,,4%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Agriculture,Prefer not to say,Private,50-200,R&D Supervisor,Bachelors or Equivalent,10,95000,,10%,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401K, 6% match","Basic health package (dental, eyes, life)",3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Contract Research Organization,Prefer not to say,Start-up,50-200,Automation Scientist,Bachelors or Equivalent,4,38000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"5% personal contribution, employer match",,4,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Start-up,Jan-50,Research Associate III,Bachelors or Equivalent,3,89500,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,No benefits,Kaiser permanents health insurance ,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Food,Prefer not to say,Public,5000+,Associate Scientist,Bachelors or Equivalent,2,78000,,20%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,7% 401k match,,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Private,Jan-50,Director,MD or Equivalent,20,350000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K,health and insurance,Company/Institution does not have annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,5000+,Deug Safety Director,PharmD or Equivalent,18,265000,,66000,0,,,N/A (no overtime/salaried),2024,66000,401k match 12% ,HSA 1000/yr,4,,"Pharma Central (NY, NJ, PA)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Associate Scientist,Bachelors or Equivalent,5,113000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K 5% match,"BCBS PPO, no HSA",3000,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Scientist,PhD or Equivalent,0,100000,,25000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,,Premiums fully covered,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,1% equity options over 4 years,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,5000+,Clinical Sales,PhD or Equivalent,1,130000,,70000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 50-100% of what you put in,"Kaiser $110 copay monthly, dental and vision free",2,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Contract Manufacturing Organization,Lonza,Public,5000+,QC Analyst 2,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",4,57000,,4290,,,,1.5x base,2024,Not Applicable/None,6% 401k match,Normal 3 tiered option,cost of living % increase. ,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Private,50-200,Lab supervisor ,Bachelors or Equivalent,10,96000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k matching 5%,,3,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,50-200,Scientist II,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, PhD or Equivalent",3,133000,,11000,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k 2% match,"90% coverage for personal, 75% coverage for family",Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Thermo Fisher Scientific,Public,5000+,Quality Engineer III,Bachelors or Equivalent,8,90000,,7200,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,"6% 401k match, can do traditional or Roth 401k. Additional 401k roll-over plan offered (have not explored)","UnitedHealthcare: PPO and two levels of HDHP, there is a spouse surcharge ($100 /period) if spouse can have insurance through their employment. 
PPO: $500 individual deductible, $1,000 family, with 10% coinsurance. $2,000 individual annual out-of-pocket max, $4,000 family. Separate prescription deductible/out-of-pocket max: $200 individual deductible, $400 family with $4,000 individual out-of-pocket max, $8,000 family.
Core HDHP: $1,750 individual deductible, $3,500 family, with 20% coinsurance. $4,000 individual annual out-of-pocket max, $8,000 family. HSA available, company contributes $500, can invest if balance greater than $1,000. Prescription deductible/out-of-pocket max not separate.
Basic HDHP: $2,250 individual deductible, $4,500 family, with 20% coinsurance. $5,500 individual annual out-of-pocket max, $11,000 family. HSA available, company contributes $500, can invest if balance greater than $1,000. Prescription deductible/out-of-pocket max not separate.",3.49,,"Midwest (From OH to KS, North to ND)",,,,,,,,"ESPP - 6 month contribution period, purchase at 5% discount, no lookback provision",,,Nan,
nan,Big Pharmaceuticals,Sanofi,Public,5000+,Senior Research Associate,Masters or Equivalent,4,91800,,9100,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 150% on first 6%,"$130/month for traditional PPO, flexible FSA, $20 for standard office visits",4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Bayer,Private,5000+,Data Scientist,PhD or Equivalent,2,78000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Company pension schema (germany),,2%,,Germany,,,,,,,,,,,Nan,
nan,Biotech Equipment,Revvity,Private,1000-5000,Biochemist ,Bachelors or Equivalent,2,56160,,Not Applicable/None,0,,,1.5,2024,Not Applicable/None,1 to 1 401k match ,,1.50%,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,1000-5000,Clinical Trial Associate ,Bachelors or Equivalent,3,62000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,50% match up to 6%,,3%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,Jan-50,Scientist II,PhD or Equivalent,1,130000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k no match,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Novartis,Public,5000+,Principal Scientist,PhD or Equivalent,4,160000,,25000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% match,.,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Scientist,Bachelors or Equivalent,4,75000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,200% match of 6% salary to 401(k),,Company/Institution does not have annual yearly raise,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Contract Research Organization,PharmaPlanter Technologies,Start-up,Jan-50,Research Technician,"Bachelors or Equivalent, Masters or Equivalent",1,58,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,not sure,,Have not been long enough to have an annual yearly raise,,Canada,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,Masters or Equivalent,5,105000,,6000,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,10%,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist,PhD or Equivalent,1,125000,,12%,15000,,,N/A (no overtime/salaried),2024,vested ,"401k, no match",100% coverage ,3.2,,,,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Bioinformatician,Masters or Equivalent,5,45000,,Not Applicable/None,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,Nope,,Have not been long enough to have an annual yearly raise,,Spain,,,,,,,,0.1,,,Nan,
nan,Big Pharmaceuticals,Barinthus Biotherapeutics,Public,50-200,Head of Chemical Immunology,PhD or Equivalent,10,173000,,17000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% 401k match,Fully employer paid health insurance for full family,3%,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,"Director, Epidemiology ","High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, JD or Equivalent",9,247000,,"61,750",,,,N/A (no overtime/salaried),2024,"82,260","15,500 in 1:1 employer match",Multiple insurance options with great overall coverage...,9385,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Director,Bachelors or Equivalent,8,215000,,43000,53750,,,N/A (no overtime/salaried),2024,17500,$15K retirement match,HSA match ~$750,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,"RSU grant valued at 70,000 at sign on. Vests over 4 years",,,Nan,
nan,Specialty Pharma,Prefer not to say,Public,1000-5000,Associate Director,Bachelors or Equivalent,7,190962,,"38,192",,,,N/A (no overtime/salaried),2024,60000,3% 401K match,$600 HSA match,3%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Vertex,Public,5000+,scientist,PhD or Equivalent,4,126000,,15000,20000,,,N/A (no overtime/salaried),2024,40000, 401k match 4.5%,,3,,Boston,,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Senior Director,PhD or Equivalent,13,265000,,53000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Standard,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Start-up,Prefer not to say,Start-up,Jan-50,Scientist I,PhD or Equivalent,0,115000,,12%,0,,,N/A (no overtime/salaried),2024,"25% of granted total first year, total over 4 years",none,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,J&J ,Public,5000+,Director,"Bachelors or Equivalent, Masters or Equivalent, MD or Equivalent",10,265000,,65000,,,,N/A (no overtime/salaried),2024,65000,401k match 3%,HSA,4,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Legend Biotech,Public,1000-5000,Operations Supervisor,Bachelors or Equivalent,10,120000,,12%,5000,,,Captive Pay OT (1x pay above 40hrs/week),2024,"20,000",401k 6% ,"PPO = $125/mo, HDHP $25 or $37 a month. HRA $1800/$2300 a year.  ",6,,"Pharma Central (NY, NJ, PA)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Boehringer Ingelheim,Private,5000+,Scientist,PhD or Equivalent,4,81200,,8100,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% pension,,Have not been long enough to have an annual yearly raise,,Germany,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,BMS,Public,5000+,IT Director,Bachelors or Equivalent,15,247000,,54600,10000,,,N/A (no overtime/salaried),2024,50000,6% 401k match,,3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Services Organization,Prefer not to say,Private,5000+,Client Account Director,Associate’s Degree or Equivalent,10,175000,,75000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match of up to 4%,,5%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Start-up,Jan-50,Sr. Scientist,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",1,100000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,1500,4% match,,Have not been long enough to have an annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate principal scientist,PhD or Equivalent,20,60000,,9000,,,,N/A (no overtime/salaried),2024,3000,Self funded ,,4,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,(small public company) Late Phase Biopharmaceuticals,Prefer not to say,Public,50-200,Associate Clinical Trial Scientist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",3,95000,,9500,,,,N/A (no overtime/salaried),2024,5000,401k 100% match up to 4% of base compensation,"Company has Health Reimbursement Plan ~$2000k contributed for individual per year, wellness stipend of ~$500 a year. HSA contributions are about ~$900/yr for those with HDHP. Cigna is the insurance carrier, and Open access or HDHP are the two options. Principle handles Vision and Dental.",2,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,"Joined when company was private, company is no public, so it may be different. We were provided with equity package that was distributed over 4 years in monthly increments. Exercise price was pennies at the time I joined, it has since increased to a few dollars. There is an employee stock option plan as well that provides 15% discount to all stock purchases and allows us to pretax purchase them up to 15% of our total base pay. ",,,Nan,
nan,Medical/Health Devices,Prefer not to say,Public,50-200,Associate Director,Masters or Equivalent,16,154000,,15400,,,,N/A (no overtime/salaried),2024,0,401K match to $6000,"4 Harvard Pilgrim choices, FSA or HSA electives, DCRA elective, highest insurance is 6800/year for a family of 4 with 3000 deductible",2%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
